target_id 	 SRR5133628 	 SRR5133629 	 SRR5133630 	        SRR5133631 	 SRR5133632 	 SRR5133633 	 SRR5133634 	 SRR5133635 	 SRR5133636 
CL1054.Contig13	8	5	13	12	5	9	0	0	9
CL1054.Contig14	18	23	12	15	17	17	15	12	21
CL1054.Contig15	0	0	0	0	0	0	0	0	0
CL1054.Contig16	0	5	1	0	13	0	0	4	0
CL1054.Contig17	0	3	0	0	0	0	0	0	0
CL1054.Contig18	0	1	0	0	0	0	0	2	0
CL1054.Contig2	7	3	4	11	0	13	0	2	0
CL1054.Contig3	9	15	5	6	0	6	0	3	9
CL1054.Contig4	22	5	21	28	1	51	35	15	0
CL1054.Contig5	11	15	11	11	0	11	0	8	17
CL1054.Contig6	23	22	33	22	38	29	38	31	29
CL1054.Contig7	0	0	0	0	0	0	0	0	0
CL1054.Contig8	32	35	18	28	42	22	26	22	29
CL1054.Contig9	109	94	67	61	70	21	107	70	117
CL1055.Contig1	0	0	0	0	0	0	0	0	0
CL1055.Contig2	24	16	23	22	24	35	21	18	15
CL1055.Contig3	72	97	70	51	106	80	47	79	82
CL1055.Contig4	39	22	54	51	19	33	57	26	37
CL1056.Contig1	566	447	627	798	423	777	325	589	524
CL1056.Contig2	99	110	87	120	88	69	84	144	90
CL1056.Contig3	22	0	0	0	2	15	0	0	0
CL1057.Contig1	51	39	36	46	49	44	42	48	36
CL1057.Contig2	42	48	45	25	27	22	30	33	48
CL1058.Contig1	77	67	94	79	90	107	78	98	75
CL1058.Contig2	6	0	17	0	10	10	0	4	0
CL1059.Contig1	67	68	48	71	86	55	75	38	69
CL1059.Contig2	26	21	67	34	28	51	24	73	21
CL1059.Contig3	39	32	0	35	27	0	35	0	39
CL1059.Contig4	11	22	36	9	9	29	29	40	15
CL106.Contig1	7	25	19	19	36	18	24	5	22
CL106.Contig2	28	15	24	11	6	27	28	25	18
CL106.Contig3	20	6	20	11	12	15	16	11	11
CL106.Contig4	12	12	5	16	8	0	9	5	3
CL106.Contig5	30	30	5	28	30	21	16	38	21
CL106.Contig6	15	11	19	12	12	14	15	16	10
CL1060.Contig1	29	53	106	49	91	64	45	62	32
CL1060.Contig2	87	62	42	61	28	64	72	39	69
CL1060.Contig3	0	0	0	0	0	0	0	0	0
CL1060.Contig4	27	18	22	18	17	18	19	25	26
CL1060.Contig5	3	0	0	2	15	4	9	0	0
CL1061.Contig1	8	32	43	44	31	45	51	50	59
CL1061.Contig2	0	0	1	0	0	0	0	0	0
CL1061.Contig3	47	24	27	16	32	22	27	23	22
CL1061.Contig4	44	36	34	25	34	54	35	37	43
CL1061.Contig5	33	47	24	57	42	11	20	26	15
CL1062.Contig1	20	17	43	29	46	59	56	54	37
CL1062.Contig10	0	0	0	0	0	0	0	0	0
CL1062.Contig11	21	5	26	8	18	11	10	2	12
CL1062.Contig12	28	11	19	10	16	7	6	2	10
CL1062.Contig13	4	7	6	6	8	10	10	5	10
CL1062.Contig14	26	28	29	29	34	31	26	33	24
CL1062.Contig15	22	15	23	28	15	5	14	4	21
CL1062.Contig16	0	0	0	0	0	0	0	0	0
CL1062.Contig2	0	0	0	0	0	0	0	0	0
CL1062.Contig3	43	20	20	0	39	38	14	26	29
CL1062.Contig4	0	0	0	0	0	0	0	0	0
CL1062.Contig5	13	0	0	0	1	21	0	16	2
CL1062.Contig6	68	102	87	103	82	73	109	77	58
CL1062.Contig7	0	0	0	17	6	4	0	0	0
CL1062.Contig8	6	13	6	7	8	7	6	5	8
CL1062.Contig9	11	18	10	2	0	9	1	17	0
CL1063.Contig1	58	42	26	20	52	31	25	26	60
CL1063.Contig2	0	0	0	0	0	0	0	0	0
CL1063.Contig3	69	100	116	138	150	121	138	113	90
CL1063.Contig4	33	30	12	12	49	16	12	21	25
